,Unnamed: 0,seller_id,seller_nickname,category_id,category,item_id,item_name,currency,price
0,0,224160443,MAF UTILIDADES,MLB5672,Acessórios para Veículos,MLB4296308798,Kit 10 Panos Microfibra Flanela 35*50cm Power Clean Cor Sortido,BRL,41.0
1,1,444816473,AUTO TR,MLB5672,Acessórios para Veículos,MLB3698110641,Mangueira Filtro Ar Tbi Honda Civic 2012 2013 2014 2015 1.8,BRL,82.5
2,2,1165626720,WEMG_,MLB5672,Acessórios para Veículos,MLB3494040092,Modulo Taramps Ts400x4 400w 2 Ohms Rca Ts 400x4 4 Canais 100w Amplificador 400rms T400 4 Canais Potencia Taramps Som Para Carro Moto Caminhonete Automotivo,BRL,184.23
3,3,1148569370,MEGAMOTO.COM,MLB5672,Acessórios para Veículos,MLB3721274157,Par Pneu Bros 150 Xre 190 90/90-19 + 110/90-17 Tr300 Vipal,BRL,575.0
4,4,183982918,IDEAL KITS,MLB5672,Acessórios para Veículos,MLB1381132707,Botão Interruptor Vidro Elétrico Sandero Duster Logan Duplo,BRL,56.0
5,5,713571099,HENRIQUEBABYS,MLB5672,Acessórios para Veículos,MLB3332039175,Cadeira Para Automóvel 9 A 36kg Grafite E Preto Styll Baby,BRL,321.35
6,6,383200349,KAKAAUTOPECAS_IK,MLB5672,Acessórios para Veículos,MLB3699013243,Radiador Vw Gol G5/g6/g7 Com Ar,BRL,258.96
7,7,1552737829,NOVA_ERA_ACESSORIOS,MLB5672,Acessórios para Veículos,MLB4610568084,First Option 6688 Preto 25w Aparelho Mp3 Player,BRL,56.05
8,8,1257560156,IMPORTSCESTARO,MLB5672,Acessórios para Veículos,MLB3533136913,Módulo Injeção Programável M250 P/ Motos Honda Mono Cilindro,BRL,1350.0
9,9,1077476156,HANGARPNEUS,MLB5672,Acessórios para Veículos,MLB4626752664,Pneu Moto Traseiro 90/80-14 Kenda 43p K677 Thorax Tl,BRL,198.0
10,10,194195623,LOJA ANROSS,MLB5672,Acessórios para Veículos,MLB3375319741,Chave Seta Ecosport Fiesta Ka 2003 2004 2005 2006 2007 2008,BRL,189.9
11,11,690485804,TORRES.AUTO,MLB5672,Acessórios para Veículos,MLB3304491383,Par Amortecedor Porta Malas Ford Fiesta Hatch 2003 04 À 2014,BRL,56.99
12,12,235608158,MBAFILTROS,MLB5672,Acessórios para Veículos,MLB4147955524,Chave De Roda Modelo L Universal 19mm Sem Espátula Andorinha,BRL,26.92
13,13,106458867,DINIZ JUNTAS,MLB5672,Acessórios para Veículos,MLB1320549929,Fio Veda Roscas Loctite 55 Rolo 160mt,BRL,78.99
14,14,130090710,LOI BRASIL,MLB5672,Acessórios para Veículos,MLB3445388687,Modulo Taramps Tl 1500 390w 2 Ohms Rca E Entrada Fio Tl1500 2 Canais Estéreo 95 Watts Rms 2 Ohms E 1 Canal Sub 200 Watts Rms 4 Ohms Potencia Som Automotivo Amplificador Para Carro Moto Caminhonete,BRL,185.11
15,15,638925391,JANGUITO.NET,MLB5672,Acessórios para Veículos,MLB3322171505,Tampão Traseiro Bagagito Hb20 2ª Geração 2020 2021 2022 2023,BRL,125.99
16,16,363529690,POTENCIA.MIX,MLB5672,Acessórios para Veículos,MLB1242496249,Bola Manopla De Cambio Renault Logan Sandero 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 Stepway Megane,BRL,27.96
17,17,1576607684,DISTRIBUIDORALB20231203101613,MLB5672,Acessórios para Veículos,MLB4570118242,Lanterna Fiorino 2014 2015 2016 2017 2018 2019 2020 2021,BRL,154.86
18,18,446687381,LOJAORTEGAVIRTUAL,MLB5672,Acessórios para Veículos,MLB1319232699,Bobina Ignição 06a905097 Gol G5 1.0 2010 2011 2012 2013 Nova,BRL,328.0
19,19,258217777,RADIADORES CONFIANÇA,MLB5672,Acessórios para Veículos,MLB2604452226,Radiador Gol 1.0 G2 G3 G4 Com Ar Motores Mi\ Power\ At,BRL,256.43
20,20,655577127,FAXINA VIRTUAL,MLB5672,Acessórios para Veículos,MLB3470380273,Receptor Transmissor Fm Veicular Mp3 Bluetooth 2usb 1tipoc Cor Preto,BRL,39.09
21,21,1015474523,BTJ DISTRIBUIDORA,MLB5672,Acessórios para Veículos,MLB4538199522,Graxa De Lítio Azul Para Rolamentos Multiuso - Pote 1kg,BRL,38.18
22,22,81777660,XANDY SUSPENSÕES,MLB5672,Acessórios para Veículos,MLB3811520392,Barra Estabilizadora Traseira Ix35 2010 Até 2016 Reforçada !,BRL,149.0
23,23,62269391,MGMSTORE_,MLB5672,Acessórios para Veículos,MLB3839710489,Câmera Ré Automotiva 8 Leds Hd Infravermelho Visão Noturna,BRL,33.03
24,24,68657233,BESSER AMORTECEDORES,MLB5672,Acessórios para Veículos,MLB2074235796,Par Amortecedor Tampa Traseira Hyundai Hb20 2012 A 2020,BRL,56.08
25,25,782649820,KOVAK PNEUS,MLB5672,Acessórios para Veículos,MLB5014432036,Pneu Traseiro Aro 18 Titan Fan Cg Start 125 150 160 90/90-18,BRL,119.9
26,26,553682874,NEWTEC BRASIL,MLB5672,Acessórios para Veículos,MLB3774651523,Abro Copper Gasket Spray 255g Junta Líquida De Cobre Selante,BRL,95.99
