seller_id;data_created;item_id;quantity;price
567229825;01/05/2024;MLB3106742623;4;125.0
673237897;25/05/2023;MLB3141025777;6;67.99
1066070366;18/02/2023;MLB3424370313;1;75.97
769154914;28/10/2023;MLB4272281938;2;20.81
440775073;01/06/2023;MLB4396014592;3;327.6
1660983063;03/03/2024;MLB3856949585;4;2070.0
132893012;18/07/2023;MLB3838920291;1;27.45
539617979;29/07/2023;MLB4097527188;4;26.02
259270895;14/10/2023;MLB3856980773;2;200000.0
789878724;18/03/2024;MLB3620966525;5;1997.0
1564495264;29/08/2024;MLB3624851817;5;132.49
1066070366;01/06/2024;MLB3424370313;8;75.97
630321707;04/06/2023;MLB4418941674;5;14.9
539142780;26/08/2023;MLB4670913232;1;169.0
290965309;29/05/2024;MLB5088328378;10;50.11
718990748;26/05/2024;MLB3406039781;4;53.42
620751891;06/06/2024;MLB5000509662;5;34.0
570711938;19/09/2024;MLB3250331769;9;1300.55
1346266827;16/08/2023;MLB3683557935;10;18.9
156326278;14/06/2024;MLB4856266698;9;7.0
88639314;09/08/2024;MLB3699035845;3;50.61
720423190;14/10/2023;MLB3542920647;1;119.0
1718621909;07/08/2024;MLB5071183666;7;116.91
77862772;15/02/2023;MLB4355603598;8;15.9
744240004;30/08/2024;MLB3710315405;4;46.27
9028449;05/04/2024;MLB3396028385;9;78.0
654915209;27/07/2023;MLB4131557606;10;47.9
157904174;21/04/2024;MLB4844401322;7;27.0
112538836;10/03/2023;MLB3956052698;7;54.9
615928;05/12/2023;MLB3858948165;1;200000.0
1375734583;11/07/2023;MLB3371578831;7;99.9
480263032;12/02/2023;MLB3271655869;10;274.47
240233666;03/09/2023;MLB4964614146;6;300.0
160458931;02/03/2024;MLB3811786381;4;24.0
1057938832;23/06/2023;MLB3855206873;6;33.98
182949371;17/09/2023;MLB3850762687;4;8.0
1015474523;05/08/2024;MLB4538199522;8;38.18
674650794;22/09/2024;MLB3852534482;2;127.0
51841739;15/05/2024;MLB4961339702;9;39.89
646053858;18/06/2023;MLB5073225784;4;291.0
206948942;10/02/2024;MLB3864876423;8;765000.0
1113134053;09/06/2024;MLB5048424066;8;540.0
125514982;04/09/2024;MLB3815596095;3;8.0
410990167;21/06/2024;MLB3784614066;9;52.79
766587791;03/09/2024;MLB3684952081;3;39.0
667366193;27/01/2023;MLB3784827192;10;33.64
64196652;28/10/2023;MLB4063179466;3;93.0
200790221;11/08/2024;MLB4460346784;8;28.8
617808233;23/08/2024;MLB4875446708;1;66.25
480263032;02/03/2023;MLB3496291609;8;1638.17
699665935;25/07/2023;MLB3582503463;6;79.9
703964030;18/07/2024;MLB4354238412;8;109.0
125514982;26/06/2024;MLB3815596095;9;8.0
175993814;25/05/2023;MLB3733916887;4;75.04
635816909;12/05/2024;MLB3281767411;4;53.09
318599811;13/08/2023;MLB5092927946;8;79900.0
198306331;27/08/2023;MLB3856043011;1;299.0
1331555796;21/02/2024;MLB3854930697;3;497.0
1530125992;07/02/2023;MLB4812138498;5;57.43
614794592;10/09/2024;MLB5085338754;10;197.0
51869795;10/05/2023;MLB1086421196;10;129.99
167371076;13/04/2023;MLB4632105876;6;5330.0
1029802008;31/08/2023;MLB4096331416;9;15.9
236008850;25/12/2023;MLB4779891602;1;42.37
