,id_category,name
0,MLB5672,Acessórios para Veículos
1,MLB271599,Agro
2,MLB1403,Alimentos e Bebidas
3,MLB1071,Animais
4,MLB1367,Antiguidades e Coleções
5,MLB1368,"Arte, Papelaria e Armarinho"
6,MLB1384,Bebês
7,MLB1246,Beleza e Cuidado Pessoal
8,MLB1132,Brinquedos e Hobbies
9,MLB1430,"Calçados, Roupas e Bolsas"
10,MLB1039,Câmeras e Acessórios
11,MLB1743,"Carros, Motos e Outros"
12,MLB1574,"Casa, Móveis e Decoração"
13,MLB1051,Celulares e Telefones
14,MLB1500,Construção
15,MLB5726,Eletrodomésticos
16,MLB1000,"Eletrônicos, Áudio e Vídeo"
17,MLB1276,Esportes e Fitness
18,MLB263532,Ferramentas
19,MLB12404,Festas e Lembrancinhas
20,MLB1144,Games
21,MLB1459,Imóveis
22,MLB1499,Indústria e Comércio
23,MLB1648,Informática
24,MLB218519,Ingressos
25,MLB1182,Instrumentos Musicais
26,MLB3937,Joias e Relógios
27,MLB1196,"Livros, Revistas e Comics"
28,MLB1168,"Música, Filmes e Seriados"
29,MLB264586,Saúde
30,MLB1540,Serviços
31,MLB1953,Mais Categorias
