seller_id,data_created,item_id,quantity,price
567229825,2024-05-01,MLB3106742623,4,125.0
673237897,2023-05-25,MLB3141025777,6,67.99
1066070366,2023-02-18,MLB3424370313,1,75.97
769154914,2023-10-28,MLB4272281938,2,20.81
440775073,2023-06-01,MLB4396014592,3,327.6
1660983063,2024-03-03,MLB3856949585,4,2070.0
132893012,2023-07-18,MLB3838920291,1,27.45
539617979,2023-07-29,MLB4097527188,4,26.02
259270895,2023-10-14,MLB3856980773,2,200000.0
789878724,2024-03-18,MLB3620966525,5,1997.0
1564495264,2024-08-29,MLB3624851817,5,132.49
1066070366,2024-06-01,MLB3424370313,8,75.97
630321707,2023-06-04,MLB4418941674,5,14.9
539142780,2023-08-26,MLB4670913232,1,169.0
290965309,2024-05-29,MLB5088328378,10,50.11
718990748,2024-05-26,MLB3406039781,4,53.42
620751891,2024-06-06,MLB5000509662,5,34.0
570711938,2024-09-19,MLB3250331769,9,1300.55
1346266827,2023-08-16,MLB3683557935,10,18.9
156326278,2024-06-14,MLB4856266698,9,7.0
88639314,2024-08-09,MLB3699035845,3,50.61
720423190,2023-10-14,MLB3542920647,1,119.0
1718621909,2024-08-07,MLB5071183666,7,116.91
77862772,2023-02-15,MLB4355603598,8,15.9
744240004,2024-08-30,MLB3710315405,4,46.27
9028449,2024-04-05,MLB3396028385,9,78.0
654915209,2023-07-27,MLB4131557606,10,47.9
157904174,2024-04-21,MLB4844401322,7,27.0
112538836,2023-03-10,MLB3956052698,7,54.9
615928,2023-12-05,MLB3858948165,1,200000.0
1375734583,2023-07-11,MLB3371578831,7,99.9
480263032,2023-02-12,MLB3271655869,10,274.47
240233666,2023-09-03,MLB4964614146,6,300.0
160458931,2024-03-02,MLB3811786381,4,24.0
1057938832,2023-06-23,MLB3855206873,6,33.98
182949371,2023-09-17,MLB3850762687,4,8.0
1015474523,2024-08-05,MLB4538199522,8,38.18
674650794,2024-09-22,MLB3852534482,2,127.0
51841739,2024-05-15,MLB4961339702,9,39.89
646053858,2023-06-18,MLB5073225784,4,291.0
206948942,2024-02-10,MLB3864876423,8,765000.0
1113134053,2024-06-09,MLB5048424066,8,540.0
125514982,2024-09-04,MLB3815596095,3,8.0
410990167,2024-06-21,MLB3784614066,9,52.79
766587791,2024-09-03,MLB3684952081,3,39.0
667366193,2023-01-27,MLB3784827192,10,33.64
64196652,2023-10-28,MLB4063179466,3,93.0
200790221,2024-08-11,MLB4460346784,8,28.8
617808233,2024-08-23,MLB4875446708,1,66.25
480263032,2023-03-02,MLB3496291609,8,1638.17
699665935,2023-07-25,MLB3582503463,6,79.9
703964030,2024-07-18,MLB4354238412,8,109.0
125514982,2024-06-26,MLB3815596095,9,8.0
175993814,2023-05-25,MLB3733916887,4,75.04
635816909,2024-05-12,MLB3281767411,4,53.09
318599811,2023-08-13,MLB5092927946,8,79900.0
198306331,2023-08-27,MLB3856043011,1,299.0
1331555796,2024-02-21,MLB3854930697,3,497.0
1530125992,2023-02-07,MLB4812138498,5,57.43
614794592,2024-09-10,MLB5085338754,10,197.0
51869795,2023-05-10,MLB1086421196,10,129.99
167371076,2023-04-13,MLB4632105876,6,5330.0
1029802008,2023-08-31,MLB4096331416,9,15.9
236008850,2023-12-25,MLB4779891602,1,42.37
1695685840,2024-06-02,MLB5082574454,3,58900.0
6192796,2023-02-06,MLB4040773570,1,9.21
359656581,2023-08-16,MLB3686643987,9,12.48
1086556888,2023-05-28,MLB3817645197,8,299.0
640436496,2024-08-25,MLB3683271187,9,3869.91
496077281,2024-07-13,MLB4775709490,10,28.4
1332615040,2023-08-16,MLB3477962021,10,68.42
406517118,2023-02-19,MLB5033142710,8,18.6
95174741,2024-02-01,MLB1028968851,9,435.0
95174741,2024-03-29,MLB1139876342,8,169.9
816400439,2023-01-07,MLB2007974819,8,11.17
1934797582,2023-06-09,MLB5048338920,7,2199.0
493022660,2023-03-21,MLB4913304516,10,29.22
1221177436,2023-09-26,MLB3864771657,3,158.31
288772222,2023-05-08,MLB4598816454,2,115.0
1780384312,2024-03-15,MLB3793643703,8,55.0
306786885,2024-07-30,MLB3762671715,5,117.99
50738385,2023-06-18,MLB3548404471,10,15.9
1487158047,2023-09-05,MLB3520564697,3,13.12
1003963486,2023-07-25,MLB3806666681,8,25.82
1719503200,2023-10-25,MLB3643878939,3,195.0
1158756553,2023-06-07,MLB4736068452,8,4049.0
584018827,2024-07-02,MLB3859195519,1,78.9
251296886,2023-08-13,MLB4967784696,10,500.0
1473251332,2023-10-22,MLB3690512117,10,29.0
153938540,2023-07-20,MLB3441582029,2,31.71
614794592,2023-03-11,MLB5085338754,9,197.0
1867843782,2023-07-15,MLB4812143184,8,73.15
176760914,2024-03-19,MLB5046274776,5,1380000.0
23570019,2024-06-23,MLB4243840282,3,18.99
51869795,2023-09-26,MLB782141206,10,139.99
653305084,2023-12-11,MLB1785496717,10,26.94
1291035015,2024-03-01,MLB5079206188,2,91500.0
177928932,2024-08-22,MLB3600385733,9,30.07
229666274,2023-01-22,MLB4070835288,4,22.8
175729038,2024-06-18,MLB4780932422,10,29.94
51869795,2023-10-04,MLB819156677,4,49.99
93002175,2023-03-24,MLB5089254964,7,750.0
1918199536,2023-06-20,MLB5092748330,3,89990.0
1343095651,2024-05-28,MLB3902407458,3,64.86
211037446,2024-03-07,MLB3722589767,3,4479.0
1718868544,2023-03-20,MLB5082789832,5,92.12
439595320,2024-07-04,MLB3661801279,1,129.8
317390047,2024-06-04,MLB4096473914,3,154.92
582715635,2024-01-30,MLB3852806601,8,27.22
557704579,2024-06-10,MLB4645705508,1,77.77
134073130,2024-03-02,MLB3389500547,5,26.43
441608414,2023-12-24,MLB3862006231,6,85000.0
235608158,2023-02-09,MLB4147955524,8,26.92
646053858,2023-12-28,MLB5073225784,6,291.0
74144875,2023-06-23,MLB4783478854,7,325.0
